"","longitude","latitude","Bio_1_2006_2016_average","Bio_5_2006_2016_average","Bio_6_2006_2016_average","Bio_11_2006_2016_average","Bio_13_2006_2016_average","Hyde_Year_2005"
"3084",-107.731933,38.803004,7.99356079101562,30.736364364624,-12.245454788208,-3.05454540252686,58.6727294921875,0.408392778507534
"1529",-119.424391,37.844495,5.60189390182495,26.2090911865234,-10.3454551696777,-1.36969697475433,291.136383056641,0.198944789792799
"9121",-65.058834,45.626631,4.6700758934021,23.8363647460938,-14.9181814193726,-7.56818199157715,207.036361694336,0.0120832934142605
"3810",-88.060151,43.150808,8.12575721740723,27.2000007629395,-11.6909093856812,-4.92878818511963,149.754547119141,0.44098957013058
"10236",-146.554722,64.905833,-3.20946979522705,20.7727279663086,-27.8818187713623,-19.8560600280762,69.1181869506836,0.00044138110495247
"3990",-122.699129,38.573877,14.3015155792236,30.3454551696777,1.79090905189514,8.21060657501221,410.290924072266,0.262121480091301
"1372",-106.878103,36.12998,6.30151510238647,27.1727275848389,-13.754545211792,-3.05151510238647,108.181816101074,0.42389485386755
"6848",-71.258565,42.364384,10.3500003814697,28.72727394104,-7.72727298736572,-1.05000007152557,195.990905761719,0.0216263631659146
"6087",-143.459022496269,65.1884598145403,-5.8575758934021,17.4545459747314,-29.6090908050537,-21.3636360168457,59.6909103393555,0
"3892",-121.433226,38.097293,16.4962120056152,34.8545455932617,2.55454540252686,8.48787879943848,184.263641357422,0.519430775960479
"9394",-73.027958,43.690694,7.44128799438477,27.509090423584,-13.4818181991577,-5.39848518371582,151.836364746094,0.199490803134927
"4898",-74.52999,40.683893,10.5011367797852,29.7909088134766,-8.127272605896,-0.921212136745453,194.463638305664,0.0412782545517924
"2195",-76.340078,40.053723,11.0848484039307,29.9090919494629,-7.14545488357544,-0.271212100982666,180.136367797852,0.446363577170674
"7888",-79.460686,40.900227,9.86136341094971,28.8181819915771,-8.08181858062744,-1.390909075737,162.06364440918,0.253481247026541
"9522",-93.204896,48.619122,3.21098494529724,25.3818187713623,-22.1272735595703,-12.8060607910156,138.581817626953,0.110407253053646
"5525",-122.849314,46.904206,10.3920459747314,25.22727394104,-0.254545450210571,4.26212120056152,295.572723388672,0.208236739378601
"361",-123.545036,48.321104,9.28674221038818,20.745454788208,0.345454543828964,4.28030300140381,354.427276611328,0.030295910936447
"9736",-110.16591,44.86869,2.55946969985962,24.1272735595703,-14.4363641738892,-7.02121210098267,78.8181838989258,0.0859578306819423
"3693",-122.189333,37.412427,14.3973484039307,23.8545455932617,5.50909090042114,10.4045457839966,273.263641357422,0.139686170006749
"7306",-83.725404,39.888525,10.8556823730469,29.263635635376,-7.66363668441772,-0.765151560306549,154.472732543945,0.772482025989162
"2811",-71.36023,46.626468,3.73787879943848,23.8000011444092,-18.6181812286377,-10.6318187713623,179.800003051758,0.306580224615132
"9319",-73.182162,44.485838,7.58977270126343,27.7818183898926,-13.8454542160034,-5.6575756072998,143.018188476562,0.174621159303408
"156",-119.66962,37.654674,10.4022731781006,30.8272724151611,-5.57272720336914,2.66666674613953,354.263641357422,0.0939224436655409
"3999",-73.801912,41.21309,11.2757577896118,29.7999992370605,-6.72727298736572,-0.119696974754333,183.336364746094,0.0721402652314083
"2404",-81.43278,41.130017,9.93712139129639,28.481819152832,-8.26363658905029,-1.55606067180634,143.409088134766,0.335455687537116
"1051",-106.385445,35.128335,9.68825817108154,29.72727394104,-10.2272729873657,0.390909135341644,98.6727294921875,0.651552210346282
"3754",-87.847778,42.918611,8.72954559326172,26.7818183898926,-10.0636367797852,-3.563636302948,151.536361694336,0.118602410375078
"4115",-114.423122,51.1046,2.95909094810486,22.8181819915771,-18.0909099578857,-8.20909118652344,105.181823730469,0.442649660116026
"3397",-122.065876,37.042412,14.3973484039307,23.8545455932617,5.50909090042114,10.4045457839966,273.263641357422,0.139686170006749
"5194",-68.492185,46.702195,3.91666674613953,24.7090911865234,-19.0545463562012,-10.6772727966309,146.790908813477,0.184351609146067
"10152",-63.151721,46.201606,5.99545478820801,24.2727279663086,-12.6636362075806,-6.02121210098267,145.963638305664,0.231595672633744
"6623",-121.25,51.9,4.29696989059448,23.2090911865234,-13.3272733688354,-6.36969709396362,82.2818222045898,0.00575488132709225
"6001",-147.216364589343,64.9320080063809,-2.18787884712219,22.22727394104,-27.7636375427246,-19.4606056213379,68.5636367797852,0.0113775165361114
"8063",-76.906271,40.29226,11.0712127685547,29.5636367797852,-6.66363620758057,-0.304545491933823,171.5,0.403756487857776
"8923",-72.069678,44.302048,5.30340909957886,25.6000003814697,-16.7818183898926,-7.68939399719238,165.418182373047,0.0938589125224753
"2049",-123.299391,42.924784,10.8890151977539,28.9090919494629,-1.218181848526,4.08181810379028,255.245468139648,0.0395433676549941
"4022",-78.589302,38.843451,11.8022727966309,29.8181819915771,-5.57272720336914,1.48636364936829,166.618179321289,0.348689531322588
"141",-91.973062,50.407458,1.6087121963501,24.3181819915771,-24.736364364624,-15.2121210098267,139.100006103516,0.00172997503477222
"7116",-76.590513,41.150833,9.44356060028076,27.9727268218994,-8.77272701263428,-2.14545464515686,166.581817626953,0.257736965292064
"1326",-119.560681,37.732643,10.4022731781006,30.8272724151611,-5.57272720336914,2.66666674613953,354.263641357422,0.0939224436655409
"3648",-92.08013,43.368068,7.97386360168457,27.9454555511475,-14.236364364624,-6.39393949508667,184.018188476562,0.867402830977773
"920",-122.966065,38.452278,14.4537878036499,26.9363632202148,4.00909090042114,9.54090881347656,397.936370849609,0.358246584597437
"379",-93.19067,45.42153,7.03484869003296,27.9272727966309,-16.236364364624,-7.92575788497925,147.136367797852,0.454853623630511
"9683",-84.560319,39.345467,12.1212120056152,30.0090923309326,-6.32727289199829,0.487878769636154,177.827270507812,0.505141143600097
"1351",-124.211677,43.58624,11.4424247741699,23.0818176269531,2.69090914726257,7.43181848526001,374.80908203125,0.0292454435504405
"7898",-74.293043,40.747196,11.9208335876465,30.0363636016846,-5.54545450210571,0.684848487377167,187.436370849609,0.0211944610363322
"2432",-59.967306,46.036921,6.310227394104,21.8272724151611,-8.85454559326172,-3.38030314445496,180.618179321289,0.0215048926155811
